explanations,class,type,optional,name,showif,label,choice1,choice2,choice3,choice4,choice5,choice6,choice7,choice8,value,block_order,item_order
,,calculate,,pid2,,,,,,,,,,,"formr_connect(""kevin.carrasco@ug.uchile.cl"", ""k959371343"")
cohesion <- formr_raw_results(""cohesion"")
sessionid <- tail(cohesion$session, n=1)
inicio <- formr_raw_results(""inicio"")
inicio <- inicio[complete.cases(inicio[, c(""session"")]), ]
id <- inicio[inicio$session == sessionid, ]
id$pid",,
,,note,,cohesion,,# **Módulo E. Valores sociales**,,,,,,,,,,,
,,note,,values_intro,,"A continuación se presenta una breve descripción de algunos tipos de personas. Por favor, lea cada una de las descripciones y responda en qué medida ese tipo de persona se parece o no se parece a Ud.

**¿En qué medida piensa usted que se parece a una persona que...?**",,,,,,,,,,,
,mc_vertical answer_below_label,mc,,values_01,,**E1. Considera que tener ideas originales y creativas es importante. Le gusta hacer las cosas a su manera**,No se parece nada a mí,No se parece a mí,Se parece un poco a mí,Se parece algo a mí,Se parece a mí,"Se parece mucho a mí
<hr style=""width: 50%; margin-left: 0; height: 1px; background-color: rgba(0, 0, 0, 0.1); border: none;"">",No sé,Preferiría no responder,,,
,mc_vertical answer_below_label,mc,,values_02,,**E2. Le es importante ser pudiente. Quiere tener mucho dinero y cosas caras.**,No se parece nada a mí,No se parece a mí,Se parece un poco a mí,Se parece algo a mí,Se parece a mí,"Se parece mucho a mí
<hr style=""width: 50%; margin-left: 0; height: 1px; background-color: rgba(0, 0, 0, 0.1); border: none;"">",No sé,Preferiría no responder,,,
,mc_vertical answer_below_label,mc,,values_03,,**E3. Le parece importante que todo el mundo sea tratado de la misma manera. Cree que todo el mundo debería tener las mismas oportunidades en la vida.**,No se parece nada a mí,No se parece a mí,Se parece un poco a mí,Se parece algo a mí,Se parece a mí,"Se parece mucho a mí
<hr style=""width: 50%; margin-left: 0; height: 1px; background-color: rgba(0, 0, 0, 0.1); border: none;"">",No sé,Preferiría no responder,,,
,mc_vertical answer_below_label,mc,,values_04,,**E4. Le es importante mostrar sus habilidades. Quiere que todo el mundo le admire por lo que hace.**,No se parece nada a mí,No se parece a mí,Se parece un poco a mí,Se parece algo a mí,Se parece a mí,"Se parece mucho a mí
<hr style=""width: 50%; margin-left: 0; height: 1px; background-color: rgba(0, 0, 0, 0.1); border: none;"">",No sé,Preferiría no responder,,,
,mc_vertical answer_below_label,mc,,values_05,,**E5. Le es importante vivir en un entorno seguro. Evita cualquier cosa que pueda poner en peligro su seguridad.**,No se parece nada a mí,No se parece a mí,Se parece un poco a mí,Se parece algo a mí,Se parece a mí,"Se parece mucho a mí
<hr style=""width: 50%; margin-left: 0; height: 1px; background-color: rgba(0, 0, 0, 0.1); border: none;"">",No sé,Preferiría no responder,,,
,mc_vertical answer_below_label,mc,,values_06,,**E6. Le gustan las sorpresas y siempre está buscando hacer cosas nuevas. Le parece importante hacer muchas cosas distintas en la vida.**,No se parece nada a mí,No se parece a mí,Se parece un poco a mí,Se parece algo a mí,Se parece a mí,"Se parece mucho a mí
<hr style=""width: 50%; margin-left: 0; height: 1px; background-color: rgba(0, 0, 0, 0.1); border: none;"">",No sé,Preferiría no responder,,,
,mc_vertical answer_below_label,mc,,values_07,,"**E7. Cree que las personas deberían hacer lo que se les manda. Cree que deberían obedecer las normas siempre, aunque nadie les vea.**",No se parece nada a mí,No se parece a mí,Se parece un poco a mí,Se parece algo a mí,Se parece a mí,"Se parece mucho a mí
<hr style=""width: 50%; margin-left: 0; height: 1px; background-color: rgba(0, 0, 0, 0.1); border: none;"">",No sé,Preferiría no responder,,,
